sic87dd_desc,manuf,sic3,dL,dIMP,dIMPoth
Wholesale trade,0,5012,.28023636,,
Retail trade,0,5210,.75342691,,
Eating and drinking places,0,5812,1.9990281,,
Depository institutions,0,6010,-.1542747,,
Non-depository institutions,0,6110,1.0176437,,
Security and commodity brokers,0,6210,3.6310992,,
Insurance,0,6310,-.33443993,,
"Insurance agents, brokers, and service",0,6400,.85477924,,
Real estate,0,6510,1.2052789,,
Non-profits,0,6732,2.3017709,,
Hotels and motels,0,7010,1.0863113,,
Miscellaneous lodging,0,7020,.24207537,,
Laundry and garment services,0,7211,-1.2644073,,
Misc. personal services,0,7220,1.8548748,,
Beauty and barber shops,0,7230,1.3506665,,
Funeral service and crematories,0,7260,.71656996,,
Advertising,0,7311,1.0635803,,
Business services,0,7322,2.4406881,,
Commercial photography,0,7335,-3.6132121,,
Building maintenance,0,7342,.98292571,,
Equipment rental and leasing,0,7352,1.2432615,,
Employment agencies,0,7361,5.4029427,,
Computer services,0,7371,4.9460988,,
Security services,0,7381,1.7734907,,
Car and truck rental,0,7513,.78941852,,
Parking and car washes,0,7520,2.8676479,,
Auto repair,0,7532,1.1349304,,
Electrical repair,0,7622,-.85473943,,
"Clock, jewelry, and furniture repair",0,7630,-2.9286566,,
Misc. repair,0,7692,-.43297893,,
Motion pictures,0,7812,2.5296845,,
Video tape rental,0,7840,-3.8203857,,
Amusement and recreation,0,7910,3.7830789,,
Theater and entertainment,0,7922,2.5693238,,
Bowling centers,0,7930,-1.508938,,
"Sports clubs, managers, and promoters",0,7941,5.7518063,,
"Racing, including track operation",0,7948,.69556206,,
Gyms and sports clubs,0,7991,3.2541766,,
Doctors and dentists,0,8010,2.3446181,,
"Clinics, labs, and health services",0,8042,4.4228029,,
Nursing and personal care facilities,0,8050,2.6806324,,
Hospitals,0,8060,1.1702769,,
Home health care services,0,8080,5.7114573,,
Legal services,0,8100,.63194054,,
Elementary and secondary schools,0,8210,3.0286746,,
Colleges and universities,0,8220,2.4720631,,
Libraries and schools,0,8230,4.006186,,
Social services,0,8320,4.8628101,,
Job training and related services,0,8330,.79047745,,
Child day care services,0,8350,3.4853055,,
Residential care,0,8360,1.6296921,,
Professional organizations,0,8610,.79836416,,
Labor and civic organizations,0,8630,-1.6259855,,
Religious organizations,0,8660,1.8945946,,
"Engineering, architectue, surveying",0,8711,1.3793095,,
"Accounting, auditing, bookkeeping",0,8720,2.6034119,,
Commercial research and testing,0,8731,2.337198,,
Business consulting,0,8741,3.8748736,,
