idcode,year,birth_yr,age,race,msp,nev_mar,grade,collgrad,not_smsa,c_city,south,ind_code,occ_code,union,wks_ue,ttl_exp,tenure,hours,wks_work,ln_wage,time
7,71,49,22,"white",1,0,12,0,0,1,0,4,3,0,0,4,3.75,40,49,1.49388,4
7,72,49,23,"white",1,0,12,0,0,1,0,4,3,0,0,5.019231,4.75,40,53,1.454573,5
7,73,49,23,"white",1,0,12,0,0,0,0,4,3,,2,5.096154,4.833333,40,4,1.454573,6
7,87,49,37,"white",1,0,12,0,0,0,0,11,3,0,0,5.903846,.8333333,30,42,.4733421,14
7,88,49,39,"white",1,0,12,0,0,0,0,11,3,0,0,7.326923,2.25,30,74,1.532477,15
9,70,51,18,"white",0,1,12,0,0,1,0,5,3,1,0,.8076923,.6666667,40,34,1.472237,3
9,71,51,19,"white",0,1,12,0,0,1,0,5,3,1,0,1.769231,1.583333,40,50,1.717023,4
9,72,51,20,"white",0,1,12,0,0,1,0,5,3,1,0,2.653846,2.5,40,46,1.747242,5
9,73,51,21,"white",1,0,12,0,0,1,0,5,3,1,0,3.583333,3.583333,40,31,1.799792,6
9,75,51,23,"white",1,0,12,0,0,1,0,5,3,,0,5.583333,5.583333,40,52,2.017152,7
9,77,51,25,"white",1,0,12,0,0,1,0,5,3,1,0,7.583333,7.583333,40,39,2.091364,8
9,78,51,26,"white",1,0,12,0,0,1,0,5,3,1,0,8.641026,8.583333,40,55,2.114099,9
9,80,51,28,"white",0,0,12,0,0,1,0,5,3,1,,10.52564,10.5,40,98,2.113776,10
9,82,51,30,"white",0,0,12,0,0,1,0,5,3,1,,12.58333,12.58333,40,98,2.312535,11
9,83,51,31,"white",0,0,12,0,0,1,0,5,3,1,0,13.58333,13.5,40,52,2.34858,12
9,85,51,33,"white",0,0,12,0,0,1,0,5,2,1,,15.58333,15.5,40,104,2.373487,13
9,87,51,35,"white",0,0,12,0,0,1,0,5,2,1,,17.58333,17.5,40,104,2.368899,14
9,88,51,37,"white",0,0,12,0,0,1,0,5,2,1,0,19.04487,19,40,76,2.350531,15
10,69,51,17,"white",0,1,10,0,0,1,0,4,6,,0,.4166667,.4166667,40,16,1.361601,2
10,70,51,18,"white",0,1,10,0,0,1,0,4,6,0,0,1.455128,1.416667,40,54,1.461484,3
10,71,51,19,"white",0,1,10,0,0,1,0,4,6,0,0,2.455128,2.416667,40,52,1.611663,4
10,72,51,20,"white",0,0,10,0,0,1,0,,6,,0,3.25,3.25,40,7,1.301507,5
10,75,51,23,"white",1,0,10,0,0,1,0,4,6,,6,3.5,.8333333,40,13,1.391349,7
10,77,51,25,"white",1,0,10,0,0,0,0,4,6,0,49,3.557692,0,40,3,1.321256,8
10,78,51,26,"white",1,0,10,0,0,1,0,4,6,,15,3.634615,.0833333,40,4,1.416566,9
10,80,51,28,"white",1,0,10,0,0,1,0,6,4,0,0,3.961539,.4166667,40,17,1.275272,10
10,82,51,30,"white",1,0,10,0,0,1,0,6,4,0,0,5,.0833333,40,54,.7974494,11
12,87,47,39,"white",1,0,18,1,0,0,0,11,2,0,,14.38461,12.83333,40,104,3.000736,14
12,88,47,40,"white",1,0,18,1,0,0,0,11,2,0,0,15.55769,14.16667,45,61,2.845265,15
13,70,47,22,"white",1,0,14,0,0,0,0,11,1,,0,2.019231,.5833333,40,53,1.952854,3
13,71,47,23,"white",1,0,14,0,0,0,0,11,1,0,0,3,1.416667,40,51,1.954463,4
13,73,47,25,"white",1,0,14,0,0,0,0,11,1,0,2,3.865385,.1666667,20,11,1.86433,6
13,75,47,27,"white",1,0,14,0,0,0,0,11,3,,0,4.615385,2.166667,24,39,2.094945,7
13,78,47,30,"white",1,0,14,0,0,0,0,11,1,0,1,5.519231,.9166667,20,47,2.125834,9
13,80,47,32,"white",1,0,14,0,0,0,0,11,1,1,0,7.365385,,40,96,2.050446,10
13,82,47,34,"white",1,0,14,0,0,0,0,11,3,0,,8.365384,1,3,52,2.119863,11
13,83,47,35,"white",1,0,14,0,0,0,0,11,3,0,0,9.365384,2,2,52,2.667868,12
13,85,47,37,"white",1,0,14,0,0,0,0,11,3,0,,10.76923,2.166667,1,73,3.579129,13
13,87,47,39,"white",1,0,14,0,0,0,0,11,3,0,,12.76923,4,15,104,1.678877,14
13,88,47,40,"white",1,0,14,0,0,0,0,11,3,0,0,14.25,5.5,8,77,2.57137,15
14,87,47,39,"white",1,0,15,0,0,0,0,11,1,0,,6.057693,.8333333,36,96,2.143405,14
14,88,47,40,"white",1,0,15,0,0,0,0,11,1,0,0,7.384615,2.25,50,69,2.047121,15
15,77,48,28,"white",1,0,16,1,0,0,0,11,1,0,0,6.557692,2,24,52,2.205023,8
15,78,48,29,"white",1,0,16,1,0,1,0,11,1,,0,7.538462,2.833333,40,51,2.340595,9
15,80,48,31,"white",1,0,16,1,0,0,0,11,1,1,1,8.769231,.0833333,35,64,2.383516,10
15,82,48,33,"white",1,0,16,1,0,0,0,11,1,1,,10.65385,2.083333,28,98,2.539237,11
15,83,48,34,"white",1,0,16,1,0,0,0,11,1,1,0,10.96154,3,24,16,2.485547,12
15,85,48,36,"white",1,0,16,1,0,0,0,11,1,1,0,12.69231,5,12,90,2.307946,13
15,87,48,38,"white",1,0,16,1,0,0,0,11,1,1,0,14.46154,7,24,92,2.813745,14
15,88,48,39,"white",1,0,16,1,0,0,0,11,1,1,0,15.76923,8.416667,16,68,2.82111,15
16,70,48,21,"white",0,1,15,0,0,1,0,11,1,0,0,.5192308,.5,40,27,2.043247,3
16,71,48,22,"white",0,1,15,0,0,1,0,11,1,,0,1.365385,.6666667,40,44,1.984131,4
16,72,48,23,"white",0,1,15,0,0,0,0,11,1,0,0,2.346154,1.666667,38,51,2.011328,5
16,73,48,24,"white",0,1,15,0,0,0,0,11,1,0,0,3.307692,2.833333,38,50,2.087474,6
16,75,48,26,"white",0,1,15,0,0,0,0,11,1,,0,4.307693,.5,40,52,1.832581,7
16,77,48,28,"white",1,0,15,0,0,0,0,11,1,0,0,5.307693,2.416667,40,52,1.93536,8
16,78,48,29,"white",1,0,15,0,0,0,0,11,1,0,0,6.326923,3.416667,40,53,2.01862,9
16,80,48,31,"white",1,0,15,0,0,0,0,11,2,0,,8.211538,5.416667,40,98,1.979646,10
16,82,48,33,"white",1,0,15,0,0,0,0,11,1,0,,10.09615,7.416667,40,98,2.128231,11
16,83,48,34,"white",1,0,15,0,0,0,0,11,1,0,0,11.09615,8.416667,40,52,2.171384,12
16,85,48,36,"white",1,0,15,0,0,0,0,11,1,0,,13.09615,10.5,40,104,2.253929,13
16,87,48,38,"white",1,0,15,0,0,0,0,11,1,0,,15.09615,12.5,40,104,2.64418,14
16,88,48,40,"white",1,0,15,0,0,0,0,11,1,0,0,16.38461,13.83333,40,67,2.739748,15
17,70,48,21,"white",0,1,15,1,0,0,0,11,1,0,0,.5192308,.5,40,27,2.000029,3
17,71,48,22,"white",0,1,15,1,0,0,0,11,1,0,0,1.461539,1.416667,40,49,1.954463,4
17,72,48,23,"white",1,0,15,1,0,0,0,11,1,0,0,2.333333,2.333333,40,26,2.083182,5
17,73,48,24,"white",1,0,15,1,0,0,0,11,1,0,0,3.416667,3.416667,24,54,2.647089,6
17,77,48,28,"white",1,0,15,1,0,1,0,11,1,0,0,6.416667,6.416667,24,8,2.039102,8
17,87,48,38,"white",1,0,15,1,0,1,0,11,1,0,0,8.993589,3.333333,30,76,2.372024,14
18,77,48,28,"white",1,0,15,0,0,0,0,6,3,0,0,1.519231,.9166667,23,40,1.237874,8
18,85,48,36,"white",1,0,15,0,0,0,0,6,5,0,,4.333333,4.333333,40,104,1.538907,13
18,87,48,38,"white",1,0,15,0,0,0,0,6,5,0,,6.333333,6.333333,40,104,1.629306,14
18,88,48,40,"white",1,0,15,0,0,0,0,6,5,0,0,7.75,7.75,40,72,1.655079,15
19,70,48,21,"white",0,1,15,0,0,0,0,11,1,0,0,.5,.5,40,19,2.01878,3
19,71,48,22,"white",0,1,15,0,0,1,0,11,1,0,0,1.557692,1.5,40,55,2.042001,4
19,72,48,23,"white",1,0,15,0,0,1,0,11,1,0,0,2.423077,2.416667,40,45,1.773027,5
19,73,48,24,"white",1,0,15,0,0,1,0,11,1,,2,3.403846,2.916667,40,51,1.798163,6
19,75,48,26,"white",1,0,15,0,0,1,0,11,1,,0,4.230769,1.75,40,43,1.932793,7
19,78,48,29,"white",1,0,15,0,0,1,0,11,1,0,0,5.057692,.9166667,12,43,1.780994,9
19,80,48,31,"white",1,0,15,0,0,1,0,11,1,0,,6.942307,2.833333,25,98,1.704118,10
19,82,48,33,"white",1,0,15,0,0,1,0,11,8,0,,8.826923,4.833333,22,98,1.811562,11
19,83,48,34,"white",1,0,15,0,0,1,0,11,1,0,,8.826923,.1666667,43,,2.139105,12
19,85,48,36,"white",0,0,15,0,0,1,0,11,1,0,,10.82692,2.166667,43,104,2.192834,13
19,87,48,38,"white",0,0,15,0,0,0,0,11,1,0,,12.82692,4.166667,40,104,2.284871,14
19,88,48,40,"white",0,0,15,0,0,0,0,11,1,1,0,14.21154,5.583333,40,72,2.318559,15
20,70,48,21,"white",0,1,15,0,0,0,0,11,1,0,0,.5,.5,40,26,2.01878,3
20,71,48,22,"white",0,1,15,0,0,0,0,11,1,0,0,1.5,1.5,40,52,2.081666,4
20,72,48,23,"white",0,1,15,0,0,0,0,11,1,0,0,2.403846,.3333333,40,47,2.117261,5
20,73,48,24,"white",1,0,15,0,0,0,0,11,1,1,0,3.442308,1.416667,40,54,2.099896,6
20,75,48,26,"white",1,0,15,0,0,0,0,11,1,,0,4.442307,3.416667,40,52,2.082393,7
20,77,48,28,"white",1,0,15,0,0,0,0,11,1,0,0,5.416667,5.416667,40,40,2.10058,8
20,78,48,29,"white",1,0,15,0,0,0,0,11,1,0,0,6.493589,6.416667,16,56,1.990396,9
20,80,48,31,"white",1,0,15,0,0,0,0,11,1,0,,8.378204,2,16,98,1.958695,10
20,82,48,33,"white",1,0,15,0,0,0,0,11,1,0,0,9.916666,3.583333,16,80,1.927315,11
20,83,48,34,"white",1,0,15,0,0,0,0,11,1,1,0,10.66667,.75,14,39,2.068818,12
20,85,48,36,"white",1,0,15,0,0,0,0,11,1,1,,12.51282,1.333333,16,96,2.192834,13
20,87,48,38,"white",1,0,15,0,0,0,0,11,1,0,,14.51282,3.25,16,104,2.218913,14
20,88,48,39,"white",1,0,15,0,0,0,0,11,1,1,0,15.85897,4.666667,4,70,2.268184,15
21,70,48,21,"white",0,1,15,0,1,0,0,11,1,,0,.3846154,.3333333,40,20,1.907555,3
21,72,48,23,"white",1,0,15,0,0,0,0,11,1,0,0,1.75,1.75,38,53,2.208345,5
21,73,48,24,"white",1,0,15,0,0,0,0,11,1,0,0,2.769231,2.75,38,53,2.194083,6
21,75,48,26,"white",1,0,15,0,0,0,0,11,1,,0,3.423077,1.166667,24,34,1.910543,7
21,85,48,36,"white",1,0,15,0,0,0,0,11,3,0,0,10,10,18,,.9855224,13
22,69,47,21,"white",0,1,15,0,0,0,0,11,1,,0,.4230769,.4166667,40,22,1.949388,2
22,70,47,22,"white",0,1,15,0,0,0,0,11,1,0,0,1.423077,1.416667,40,52,1.971228,3
22,71,47,23,"white",1,0,15,0,0,1,0,11,1,0,0,2.416667,2.416667,40,51,2.042001,4
22,72,47,24,"white",1,0,15,0,0,1,0,11,1,0,,2.416667,.4166667,40,,2.321673,5
22,73,47,25,"white",1,0,15,0,0,1,0,11,1,0,0,3.435897,1.416667,40,53,2.320567,6
22,75,47,27,"white",1,0,15,0,0,0,0,11,1,,1,4.185897,.0833333,40,39,2.316008,7
22,77,47,29,"white",1,0,15,0,0,0,0,11,1,0,0,4.878205,2.083333,24,36,2.129515,8
22,78,47,30,"white",1,0,15,0,0,0,0,11,1,0,0,5.858974,3.083333,24,51,2.056841,9
22,80,47,32,"white",1,0,15,0,0,0,0,11,1,0,,7.74359,5.083333,24,98,2.160106,10
22,82,47,34,"white",1,0,15,0,0,0,0,11,1,0,,9.628205,7.083333,24,98,2.209372,11
22,85,47,37,"white",1,0,15,0,0,0,0,11,1,0,,11.62821,10,20,104,2.252045,13
22,87,47,39,"white",1,0,15,0,0,0,0,11,1,0,,13.62821,1.5,32,104,2.007068,14
22,88,47,41,"white",1,0,15,0,0,0,0,11,1,0,0,15.01282,3,32,72,2.203645,15
23,75,46,28,"white",1,0,15,1,1,0,0,4,1,,0,5.769231,.1666667,40,15,1.910543,7
23,77,46,30,"white",1,0,15,1,1,0,0,4,1,0,0,6.384616,1.666667,40,32,1.854699,8
23,82,46,35,"white",1,0,15,1,1,0,0,11,1,0,,8.923078,1.583333,15,78,1.856298,11
23,83,46,36,"white",1,0,15,1,1,0,0,11,1,0,0,9.961539,2.583333,10,54,1.873795,12
23,87,46,40,"white",1,0,15,1,1,0,0,11,1,0,,13.96154,6.666667,40,104,1.796486,14
23,88,46,42,"white",1,0,15,1,1,0,0,11,1,0,0,15.34616,8.083333,45,72,2.085862,15
24,68,46,21,"white",1,0,14,1,0,0,0,11,1,,0,.5833333,.5833333,40,19,1.3722,1
24,69,46,22,"white",1,0,14,1,0,0,0,11,1,,0,1.583333,.6666667,40,52,1.949388,2
24,70,46,23,"white",1,0,14,1,0,0,0,11,1,0,0,2.621795,1.666667,40,54,2.000029,3
24,71,46,24,"white",1,0,14,1,0,0,0,11,1,,0,2.679487,1.75,40,3,2.087567,4
24,72,46,25,"white",1,0,14,1,0,0,0,11,1,0,0,3.50641,.75,16,43,2.099055,5
24,73,46,26,"white",1,0,14,1,0,0,0,11,1,0,0,4.50641,1.833333,16,52,2.038808,6
24,75,46,28,"white",1,0,14,1,0,0,0,11,1,,0,5.083333,3.833333,16,30,1.880084,7
24,77,46,30,"white",1,0,14,1,0,0,0,11,1,0,0,5.27564,.3333333,16,10,1.806148,8
24,78,46,31,"white",1,0,14,1,0,0,0,11,1,0,0,6.352564,1.416667,16,56,1.857954,9
24,80,46,33,"white",1,0,14,1,0,0,0,11,1,1,,8.237179,3.25,16,98,1.998605,10
24,82,46,35,"white",1,0,14,1,0,0,0,11,1,0,,10.12179,5.25,24,98,2.162172,11
24,83,46,36,"white",1,0,14,1,0,0,0,11,1,0,0,11.12179,0,24,52,2.119687,12
24,85,46,38,"white",1,0,14,1,0,0,0,11,1,0,,13.12179,0,24,104,2.307946,13
24,87,46,40,"white",1,0,14,1,0,0,0,11,1,0,,15.12179,2,24,104,2.386735,14
24,88,46,41,"white",1,0,14,1,0,0,0,11,1,0,0,16.46795,3.416667,24,70,2.406495,15
25,68,46,22,"white",1,0,14,1,0,1,0,11,1,,0,.5,.5,40,20,1.885603,1
25,69,46,23,"white",1,0,14,1,0,1,0,11,1,,0,1.5,1.5,40,52,1.99021,2
25,70,46,24,"white",1,0,14,1,0,1,0,11,1,0,0,2.538462,2.5,40,54,2.043247,3
25,71,46,25,"white",1,0,14,1,0,1,0,11,1,,0,3.153846,2.833333,40,32,2.168054,4
25,75,46,29,"white",1,0,14,1,0,1,0,11,1,,0,5.769231,1.5,24,52,2.078174,7
25,77,46,30,"white",1,0,14,1,0,1,0,11,1,0,0,6.769231,3.416667,24,52,2.109713,8
25,78,46,32,"white",1,0,14,1,0,1,0,11,1,0,0,7.807693,4.5,24,54,2.115784,9
25,80,46,33,"white",1,0,14,1,0,1,0,11,8,0,,9.692308,6.416667,24,98,2.096898,10
25,82,46,35,"white",1,0,14,1,0,1,0,11,1,0,,11.57692,8.416667,24,98,2.226783,11
25,83,46,36,"white",1,0,14,1,0,1,0,11,1,0,0,12.57692,0,24,52,2.311193,12
25,85,46,38,"white",1,0,14,1,0,1,0,11,1,0,,14.57692,2,24,104,2.154093,13
25,87,46,41,"white",1,0,14,1,0,1,0,11,1,0,,16.57692,4.083333,40,104,2.266836,14
25,88,46,42,"white",1,0,14,1,0,1,0,11,1,0,0,17.75,5.416667,40,61,2.259815,15
26,68,44,23,"white",0,1,14,1,0,0,0,11,1,,0,.5,.5,40,20,1.934577,1
26,69,44,24,"white",0,1,14,1,0,0,0,11,1,,0,1.5,1.5,40,52,2.132866,2
26,70,44,25,"white",0,1,14,1,0,0,0,11,1,0,0,2.538462,2.5,40,54,2.043247,3
26,71,44,26,"white",0,1,14,1,1,0,0,11,1,0,0,3.519231,3.5,40,51,2.122488,4
26,83,44,38,"white",1,0,14,1,1,0,0,11,2,0,0,10.44231,3.166667,21,51,1.15374,12
26,87,44,42,"white",1,0,14,1,1,0,0,11,13,0,,14.25,2.583333,30,104,1.901707,14
27,68,46,22,"white",0,1,14,1,0,0,0,11,1,,0,.4166667,.4166667,40,13,1.991736,1
27,69,46,23,"white",0,1,14,1,0,0,0,11,1,,0,1.416667,1.333333,40,52,1.99021,2
27,70,46,24,"white",0,1,14,1,0,0,0,11,1,0,0,2.455128,2.333333,40,54,2.168054,3
27,71,46,25,"white",0,1,14,1,0,0,0,11,1,0,0,3.416667,3.333333,40,50,2.122488,4
29,69,48,20,"white",1,0,13,0,0,0,1,7,3,,0,.6730769,.6666667,30,35,1.931875,2
29,70,48,21,"white",1,0,13,0,0,0,0,7,3,,6,1.346154,1,40,35,1.728845,3
29,71,48,22,"white",1,0,13,0,0,0,0,7,1,0,0,2.288462,.9166667,35,49,2.111764,4
29,72,48,23,"white",1,0,13,0,0,0,0,7,3,0,0,3.365385,2,38,56,1.673709,5
30,70,50,19,"white",1,0,8,0,0,1,0,4,6,,0,2.666667,2.666667,40,9,1.479384,3
30,71,50,20,"white",1,0,8,0,0,1,0,9,6,,5,3.24359,.5833333,40,30,1.539446,4
30,72,50,21,"white",1,0,8,0,0,1,0,9,6,1,5,3.74359,.5833333,42,26,1.57679,5
30,73,50,22,"white",1,0,8,0,0,1,0,9,3,,8,4.205128,1.166667,40,24,1.06153,6
30,77,50,26,"white",1,0,8,0,0,1,0,6,4,0,0,4.397436,.0833333,20,5,1.677365,8
30,82,50,31,"white",1,0,8,0,0,1,0,4,6,0,0,4.955128,.5833333,40,29,1.410987,11
30,83,50,32,"white",1,0,8,0,0,1,0,4,6,0,2,5.878205,1.5,40,48,1.382926,12
33,68,46,22,"white",1,0,12,0,0,1,0,4,6,,8,.8461539,0,40,44,1.565217,1
35,82,52,29,"white",1,0,11,0,0,1,0,9,7,0,37,2.858974,1.166667,8,61,1.131402,11
36,70,51,18,"white",0,1,12,0,0,0,0,6,3,,0,2.647436,2,5,51,1.767067,3
36,71,51,19,"white",0,1,12,0,0,0,0,4,3,,0,3.628205,1.333333,40,51,1.597714,4
36,72,51,20,"white",0,1,12,0,0,0,0,6,3,,0,4.608974,1.166667,27,51,1.301507,5
36,73,51,21,"white",0,1,12,0,0,0,0,6,3,0,0,5.647436,1.166667,40,54,1.61747,6
36,75,51,23,"white",0,1,12,0,0,0,0,11,3,,0,6.647436,.9166667,35,52,2.086594,7
36,77,51,25,"white",0,1,12,0,0,0,0,4,6,1,3,7.589744,.6666667,56,49,2.262825,8
36,78,51,26,"white",0,1,12,0,0,0,0,4,6,1,0,8.589744,1.666667,56,52,2.321949,9
36,88,51,37,"white",0,1,12,0,0,0,0,8,4,,0,15.9359,.9166667,40,69,1.430455,15
37,68,48,19,"white",1,0,12,0,0,1,0,4,6,,1,1.416667,1.416667,40,51,1.416372,1
